NUGET,SBOM_dependencies,CVE
microsoft.net.test.sdk@17.5.0,microsoft.net.test.sdk@17.5.0,NA
microsoft.netcore.platforms@1.1.0,microsoft.netcore.platforms@1.1.0,NA
microsoft.netcore.platforms@3.1.0,microsoft.netcore.platforms@3.1.0,NA
microsoft.netcore.platforms@5.0.0,microsoft.netcore.platforms@5.0.0,NA
microsoft.netcore.targets@1.1.0,microsoft.netcore.targets@1.1.0,NA
microsoft.netcore.targets@1.1.3,microsoft.netcore.targets@1.1.3,NA
microsoft.sqlserver.server@1.0.0,microsoft.sqlserver.server@1.0.0,NA
microsoft.testplatform.objectmodel@17.5.0,microsoft.testplatform.objectmodel@17.5.0,NA
microsoft.testplatform.testhost@17.5.0,microsoft.testplatform.testhost@17.5.0,NA
microsoft.win32.primitives@4.3.0,microsoft.win32.primitives@4.3.0,NA
microsoft.win32.registry@5.0.0,microsoft.win32.registry@5.0.0,NA
microsoft.win32.systemevents@4.7.0,microsoft.win32.systemevents@4.7.0,NA
microsoft.win32.systemevents@5.0.0,microsoft.win32.systemevents@5.0.0,NA
microsoft.win32.systemevents@7.0.0,microsoft.win32.systemevents@7.0.0,NA
mimekit@3.4.3,mimekit@3.4.3,NA
miniprofiler.aspnetcore.mvc@4.2.22,miniprofiler.aspnetcore.mvc@4.2.22,NA
miniprofiler.aspnetcore@4.2.22,miniprofiler.aspnetcore@4.2.22,NA
miniprofiler.shared@4.2.22,miniprofiler.shared@4.2.22,NA
moq@4.18.4,moq@4.18.4,NA
mysqlconnector@2.2.5,mysqlconnector@2.2.5,NA
netstandard.library@1.6.1,netstandard.library@1.6.1,NA
netstandard.library@2.0.0,netstandard.library@2.0.0,NA
newtonsoft.json.bson@1.0.2,newtonsoft.json.bson@1.0.2,NA
newtonsoft.json@10.0.3,newtonsoft.json@10.0.3,NA
newtonsoft.json@12.0.1,newtonsoft.json@12.0.1,NA
newtonsoft.json@13.0.1,newtonsoft.json@13.0.1,NA
nito.asyncex.coordination@5.1.2,nito.asyncex.coordination@5.1.2,NA
nito.asyncex.tasks@5.1.2,nito.asyncex.tasks@5.1.2,NA
nito.collections.deque@1.1.1,nito.collections.deque@1.1.1,NA
nito.disposables@2.2.1,nito.disposables@2.2.1,NA
nlog@4.7.4,nlog@4.7.4,NA
nop.core@4.5.0,nop.core@4.5.0,NA
nop.data@4.5.0,nop.data@4.5.0,NA
nop.services@4.5.0,nop.services@4.5.0,NA
nop.web.framework@4.5.0,nop.web.framework@4.5.0,NA
nop.web@4.70.0,nop.web@4.70.0,NA
npgsql@7.0.2,npgsql@7.0.2,NA
nuget.frameworks@5.11.0,nuget.frameworks@5.11.0,NA
nuglify@1.20.5,nuglify@1.20.5,NA
nunit3testadapter@4.4.2,nunit3testadapter@4.4.2,NA
nunit@3.13.3,nunit@3.13.3,NA
paypal@2.0.0-rc2,paypal@2.0.0-rc2,NA
paypalcheckoutsdk@1.0.3,paypalcheckoutsdk@1.0.3,NA
paypalhttp@1.0.0,paypalhttp@1.0.0,NA
