From_Source,Securin-SBOM,Checkmarx-SBOM,CVE[Securin],License[Securin]
nito.asyncex.coordination@5.1.2,nito.asyncex.coordination@5.1.2,nito.asyncex.coordination@5.1.2,NA,NA
nito.asyncex.tasks@5.1.2,nito.asyncex.tasks@5.1.2,nito.asyncex.tasks@5.1.2,NA,NA
nito.collections.deque@1.1.1,nito.collections.deque@1.1.1,nito.collections.deque@1.1.1,NA,NA
nito.disposables@2.2.1,nito.disposables@2.2.1,nito.disposables@2.2.1,NA,NA
nlog@4.7.4,nlog@4.7.4,nlog@4.7.4,NA,NA
nop.core@4.5.0,nop.core@4.5.0,NA,NA,NA
nop.data@4.5.0,nop.data@4.5.0,NA,NA,NA
nop.services@4.5.0,nop.services@4.5.0,NA,NA,NA
nop.web.framework@4.5.0,nop.web.framework@4.5.0,NA,NA,NA
nop.web@4.70.0,nop.web@4.70.0,NA,NA,NA
npgsql@7.0.2,npgsql@7.0.2,npgsql@7.0.2,NA,NA
nuget.frameworks@5.11.0,nuget.frameworks@5.11.0,nuget.frameworks@5.11.0,NA,NA
nuglify@1.20.5,nuglify@1.20.5,nuglify@1.20.5,NA,NA
nunit3testadapter@4.4.2,nunit3testadapter@4.4.2,nunit3testadapter@4.4.2,NA,NA
nunit@3.13.3,nunit@3.13.3,nunit@3.13.3,NA,NA
paypal@2.0.0-rc2,paypal@2.0.0-rc2,paypal@2.0.0-rc2,NA,NA
paypalcheckoutsdk@1.0.3,paypalcheckoutsdk@1.0.3,paypalcheckoutsdk@1.0.3,NA,NA
paypalhttp@1.0.0,paypalhttp@1.0.0,paypalhttp@1.0.0,NA,NA
pipelines.sockets.unofficial@2.2.0,pipelines.sockets.unofficial@2.2.0,pipelines.sockets.unofficial@2.2.0,NA,NA
portable.bouncycastle@1.9.0,portable.bouncycastle@1.9.0,portable.bouncycastle@1.9.0,NA,NA
qrcoder@1.4.3,qrcoder@1.4.3,qrcoder@1.4.3,NA,NA
questpdf@2022.12.1,questpdf@2022.12.1,questpdf@2022.12.1,NA,NA
restsharp@106.12.0,restsharp@106.12.0,restsharp@106.12.0,NA,NA
runtime.debian.8-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.debian.8-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.debian.8-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.debian.8-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.debian.8-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.fedora.23-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.fedora.23-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.fedora.23-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.fedora.23-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.fedora.23-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.fedora.24-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.fedora.24-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.fedora.24-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.fedora.24-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.fedora.24-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.native.system.io.compression@4.3.0,runtime.native.system.io.compression@4.3.0,runtime.native.system.io.compression@4.3.0,NA,NA
runtime.native.system.net.http@4.3.0,runtime.native.system.net.http@4.3.0,runtime.native.system.net.http@4.3.0,NA,NA
runtime.native.system.security.cryptography.apple@4.3.0,runtime.native.system.security.cryptography.apple@4.3.0,runtime.native.system.security.cryptography.apple@4.3.0,NA,NA
runtime.native.system.security.cryptography.openssl@4.3.0,runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.native.system.security.cryptography.openssl@4.3.2,runtime.native.system.security.cryptography.openssl@4.3.2,runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
